title,rank,date,artist,url,region,chart,trend,streams
'Till I Collapse,182,2017-01-01,"Eminem, Nate Dogg",https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT,Austria,top200,NEW_ENTRY,1246
Side To Side,32,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Brazil,top200,MOVE_DOWN,120947
Nena,60,2017-01-01,Marama,https://open.spotify.com/track/347TStOSY6IOqMB84Rpxwk,Argentina,top200,MOVE_UP,41737
Versace on the Floor,127,2017-01-01,Bruno Mars,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,Australia,top200,NEW_ENTRY,13938
Me Reclama,97,2017-01-01,"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",https://open.spotify.com/track/4ojwGTehgBRAg52jbFgzJg,Argentina,top200,MOVE_DOWN,24260
Uptown Funk (feat. Bruno Mars),112,2017-01-01,Mark Ronson,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,Australia,top200,MOVE_DOWN,15767
Ride,105,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Brazil,top200,MOVE_DOWN,43004
Sunset Lover,99,2017-01-01,Petit Biscuit,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,Australia,top200,MOVE_UP,17989
Water Under the Bridge,77,2017-01-01,Adele,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,Australia,top200,MOVE_UP,21383
Estaca Zero,55,2017-01-01,"Luan Santana, Ivete Sangalo",https://open.spotify.com/track/5OZqnhkGUxuSuW2P7CzH7y,Brazil,top200,MOVE_DOWN,84609
Nobody Does It Better,199,2017-01-01,Michael Calfan,https://open.spotify.com/track/1BMwsK4pa9KhiFmOp1oCjf,Austria,top200,MOVE_DOWN,1163
Jedermann,37,2017-01-01,Pizzera & Jaus,https://open.spotify.com/track/4rkEjyRMjc6rcj7WROZ9XK,Austria,top200,MOVE_UP,4932
Bailame Despacio,35,2017-01-01,"Xantos, Dynell",https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,Bolivia,top200,SAME_POSITION,1819
Once In a While,168,2017-01-01,Timeflies,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo,Austria,top200,MOVE_DOWN,1309
Decide Aí - Na Praia / Ao Vivo,11,2017-01-01,Matheus & Kauan,https://open.spotify.com/track/0jIitZeIQRTaZgFQf2WpGK,Brazil,top200,MOVE_UP,166355
Lean On (feat. MØ & DJ Snake),61,2017-01-01,Major Lazer,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,Australia,top200,MOVE_DOWN,26286
Never Be Like You,176,2017-01-01,"Flume, kai",https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,Austria,top200,MOVE_DOWN,1264
One Dance,24,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Argentina,top200,MOVE_UP,71498
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",31,2017-01-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Argentina,top200,MOVE_DOWN,64907
In the Name of Love,15,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Belgium,top200,MOVE_UP,11144
Andas En Mi Cabeza,11,2017-01-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Argentina,top200,SAME_POSITION,110395
Capsize,21,2017-01-01,"FRENSHIP, Emily Warren",https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,Australia,top200,MOVE_UP,60863
One Dance,18,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Bolivia,top200,MOVE_DOWN,2449
Cool Girl,96,2017-01-01,Tove Lo,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD,Australia,top200,MOVE_UP,18260
Closer,55,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Argentina,top200,MOVE_DOWN,43403
Juju on That Beat (TZ Anthem),140,2017-01-01,"Zay Hilfigerrr, Zayion McCall",https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,Austria,top200,MOVE_UP,1520
Let Me Love You,9,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Australia,top200,MOVE_DOWN,75363
Closer,2,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Belgium,top200,MOVE_DOWN,17456
Lean On (feat. MØ & DJ Snake),90,2017-01-01,Major Lazer,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,Belgium,top200,MOVE_UP,3633
Lot to Learn,59,2017-01-01,Luke Christopher,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,Belgium,top200,MOVE_UP,4766
This Is What You Came For (feat. Rihanna),64,2017-01-01,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,Bolivia,top200,MOVE_UP,1036
Call On Me - Ryan Riback Extended Remix,71,2017-01-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Argentina,top200,MOVE_DOWN,33892
Roses (feat. ROZES),141,2017-01-01,The Chainsmokers,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,Austria,top200,MOVE_UP,1512
Si Te Dejas Llevar (feat. Juanka),107,2017-01-01,Ozuna,https://open.spotify.com/track/7rDi4fIeHSM3KAUYAKYMMN,Argentina,top200,MOVE_DOWN,22878
Panda,92,2017-01-01,Desiigner,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,Austria,top200,SAME_POSITION,2304
Oceans Away,188,2017-01-01,A R I Z O N A,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I,Austria,top200,NEW_ENTRY,1214
Brown Eyed Girl,139,2017-01-01,Van Morrison,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul,Belgium,top200,MOVE_DOWN,2710
Into You,92,2017-01-01,Ariana Grande,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,Australia,top200,MOVE_UP,19070
The Greatest,89,2017-01-01,Sia,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,Australia,top200,MOVE_UP,19773
Now and Later,49,2017-01-01,Sage The Gemini,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,Belgium,top200,MOVE_UP,5433
I Took A Pill In Ibiza - Seeb Remix,40,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Argentina,top200,MOVE_DOWN,53270
Billie Jean,187,2017-01-01,Michael Jackson,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,Austria,top200,MOVE_DOWN,1223
Rockin’,107,2017-01-01,The Weeknd,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,Australia,top200,MOVE_UP,16651
Stressed Out,76,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,Belgium,top200,MOVE_UP,3995
Hasta la luna,67,2017-01-01,#TocoParaVos,https://open.spotify.com/track/1A3yLIqelu1D7MCtw06Cu7,Argentina,top200,MOVE_UP,35806
Human,75,2017-01-01,Rag'n'Bone Man,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,Australia,top200,MOVE_UP,21806
Comerte a Besos,68,2017-01-01,"Pijama Party, Cande Buasso",https://open.spotify.com/track/4UHZMWgKDjJ1zS0t6f6qPv,Argentina,top200,MOVE_DOWN,34879
Lush Life,117,2017-01-01,Zara Larsson,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,Australia,top200,MOVE_UP,14768
All Time Low,146,2017-01-01,Jon Bellion,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,Austria,top200,MOVE_UP,1490
Starving,129,2017-01-01,"Hailee Steinfeld, Grey, Zedd",https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,Brazil,top200,MOVE_DOWN,37178
Final Song,112,2017-01-01,MØ,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,Belgium,top200,MOVE_UP,3187
Wonderwall - Remastered,151,2017-01-01,Oasis,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,Belgium,top200,MOVE_UP,2569
Stronger,126,2017-01-01,Kanye West,https://open.spotify.com/track/6C7RJEIUDqKkJRZVWdkfkH,Australia,top200,MOVE_DOWN,13966
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),181,2017-01-01,Vice,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,Australia,top200,NEW_ENTRY,10404
I Took A Pill In Ibiza - Seeb Remix,49,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Austria,top200,MOVE_DOWN,4175
I'm in Love with the Coco,121,2017-01-01,Hitimpulse,https://open.spotify.com/track/7sU6BDmS1qwb78OpUMARPb,Austria,top200,MOVE_DOWN,1753
I Would Like,18,2017-01-01,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,Australia,top200,MOVE_UP,63033
Sugar (feat. Francesco Yates),185,2017-01-01,Robin Schulz,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w,Belgium,top200,MOVE_DOWN,2268
Love Me Now,34,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Austria,top200,MOVE_UP,5188
When We Were Young,162,2017-01-01,Adele,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,Belgium,top200,MOVE_UP,2436
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",89,2017-01-01,"Ozuna, Bad Bunny, Farruko, Ñengo Flow",https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,Argentina,top200,MOVE_DOWN,25622
Yo te propongo,64,2017-01-01,Rombai,https://open.spotify.com/track/0YFoSD5VhoVrRbrnFERpVM,Argentina,top200,MOVE_UP,36808
We Don't Talk Anymore (feat. Selena Gomez),24,2017-01-01,Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,Bolivia,top200,MOVE_DOWN,2090
Lighthouse - Andrelli Remix,114,2017-01-01,Hearts & Colors,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,Belgium,top200,MOVE_UP,3149
Alone,150,2017-01-01,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Australia,top200,NEW_ENTRY,12260
Quase um Casal - Ao Vivo,67,2017-01-01,Maiara & Maraisa,https://open.spotify.com/track/3BhctwMUY5Y9xmes194QTq,Brazil,top200,MOVE_UP,69319
Love Me Now,56,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Australia,top200,MOVE_UP,27967
All We Know,32,2017-01-01,"The Chainsmokers, Phoebe Ryan",https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,Belgium,top200,MOVE_DOWN,8390
Love Yourself,41,2017-01-01,Justin Bieber,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,Belgium,top200,MOVE_DOWN,5923
"Boom (feat. MOTi, TY Dolla $ign, Wizkid & Kranium)",152,2017-01-01,Major Lazer,https://open.spotify.com/track/3ghPeGA7IkGIZsrIKw9wbi,Austria,top200,MOVE_DOWN,1422
Bad Things (with Camila Cabello),90,2017-01-01,Machine Gun Kelly,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,Brazil,top200,MOVE_DOWN,50098
Que Raro,168,2017-01-01,"Feid, J Balvin",https://open.spotify.com/track/3kg9JvQe6QJFKUQCN1oIQz,Argentina,top200,MOVE_DOWN,16670
Rockabye (feat. Sean Paul & Anne-Marie),48,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Brazil,top200,MOVE_DOWN,93502
Shout Out to My Ex,126,2017-01-01,Little Mix,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,Austria,top200,MOVE_DOWN,1684
DUELE EL CORAZON (feat. Wisin),21,2017-01-01,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Bolivia,top200,MOVE_UP,2214
Os Anjos Cantam,116,2017-01-01,Jorge & Mateus,https://open.spotify.com/track/6ccKu0LwJzOhLAxBwP2PTk,Brazil,top200,MOVE_UP,39395
Andas En Mi Cabeza,14,2017-01-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Bolivia,top200,MOVE_UP,2735
Work from Home (feat. Ty Dolla $ign),87,2017-01-01,Fifth Harmony,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,Argentina,top200,MOVE_DOWN,26840
All We Know,30,2017-01-01,"The Chainsmokers, Phoebe Ryan",https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,Austria,top200,SAME_POSITION,5340
Se Parece Más A Ti,184,2017-01-01,Jambao,https://open.spotify.com/track/4bWdlExSeKAotB6uJwxFlf,Argentina,top200,NEW_ENTRY,15600
De Tanto Te Querer - Ao Vivo,109,2017-01-01,Jorge & Mateus,https://open.spotify.com/track/3HrvG1d9OZpg6eV4A1dcSk,Brazil,top200,MOVE_UP,40837
Bianco,132,2017-01-01,"Yung Hurn, RIN",https://open.spotify.com/track/0ekFioHmdtwcITYOYXavl6,Austria,top200,MOVE_UP,1599
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",94,2017-01-01,Lil Wayne,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,Australia,top200,MOVE_UP,18355
Tumbalatum,24,2017-01-01,MC Kevinho,https://open.spotify.com/track/4aAq1afusFG6jRiOSHQZvN,Brazil,top200,MOVE_UP,136943
Human,23,2017-01-01,Rag'n'Bone Man,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,Austria,top200,MOVE_UP,6350
Alone,111,2017-01-01,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Belgium,top200,MOVE_UP,3194
I Took A Pill In Ibiza - Seeb Remix,60,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Australia,top200,MOVE_DOWN,26302
Setting Fires,37,2017-01-01,"The Chainsmokers, XYLØ",https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,Australia,top200,MOVE_UP,47468
Taped up Heart (feat. Clara Mae),157,2017-01-01,KREAM,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,Austria,top200,MOVE_UP,1386
Talking to You,181,2017-01-01,Izzy Bizu,https://open.spotify.com/track/3N08HLCSwOHhMQKJGIZ7rE,Austria,top200,MOVE_DOWN,1247
Alarm,43,2017-01-01,Anne-Marie,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg,Austria,top200,MOVE_DOWN,4362
Cake By The Ocean,65,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Bolivia,top200,MOVE_DOWN,1025
Miss You,198,2017-01-01,James Hersey,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,Belgium,top200,MOVE_DOWN,2138
Love$ick (feat. A$AP Rocky),197,2017-01-01,Mura Masa,https://open.spotify.com/track/7Kq16WtEJzdRSNQgdXsn7Y,Austria,top200,MOVE_DOWN,1172
Hasta el Amanecer,47,2017-01-01,Nicky Jam,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,Bolivia,top200,MOVE_UP,1387
Broccoli (feat. Lil Yachty),65,2017-01-01,Shelley FKA DRAM,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,Australia,top200,MOVE_UP,24648
Tim Tim - Ao Vivo,126,2017-01-01,Wesley Safadão,https://open.spotify.com/track/4bftZ7IayYg0I6qQNk4ecK,Brazil,top200,MOVE_UP,37363
7 Years,127,2017-01-01,Lukas Graham,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,Austria,top200,MOVE_UP,1665
Locuras contigo,56,2017-01-01,Rombai,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,Argentina,top200,MOVE_UP,43260
Me Estoy Enamorando,120,2017-01-01,Agapornis,https://open.spotify.com/track/0mX14Kpe4VTYmkqRgGslT5,Argentina,top200,MOVE_UP,20900
Black Beatles,15,2017-01-01,"Rae Sremmurd, Gucci Mane",https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,Australia,top200,MOVE_DOWN,67650
Cold Water (feat. Justin Bieber & MØ),26,2017-01-01,Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Argentina,top200,SAME_POSITION,70260
Pasarla Bien,73,2017-01-01,Marama,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ,Argentina,top200,MOVE_UP,33111
Picky,45,2017-01-01,Joey Montana,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,Argentina,top200,MOVE_UP,51113
Papercuts (feat. Vera Blue),47,2017-01-01,Illy,https://open.spotify.com/track/6vXHaWpqkbuvzIDvR3LnKd,Australia,top200,MOVE_DOWN,35532
Ain't My Fault,119,2017-01-01,Zara Larsson,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ,Belgium,top200,MOVE_UP,3027
Deja Vu,81,2017-01-01,J. Cole,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,Australia,top200,MOVE_UP,20549
Homem de Família - Ao Vivo,25,2017-01-01,Gusttavo Lima,https://open.spotify.com/track/12wiyBZqQ3mOU7AfygXJCw,Brazil,top200,MOVE_UP,136816
Pra Sempre Com Você - Ao Vivo,45,2017-01-01,Jorge & Mateus,https://open.spotify.com/track/2KGv51jgAz8OTjNPyRryfq,Brazil,top200,MOVE_DOWN,103167
La Bicicleta,8,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Bolivia,top200,MOVE_UP,3507
Perfect Strangers,44,2017-01-01,"Jonas Blue, JP Cooper",https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,Australia,top200,MOVE_UP,39312
Borro Cassette,20,2017-01-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Bolivia,top200,MOVE_UP,2216
Alarm,120,2017-01-01,Anne-Marie,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg,Australia,top200,MOVE_UP,14519
All Night,40,2017-01-01,"The Vamps, Matoma",https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,Belgium,top200,MOVE_UP,6954
Si me dices que sí (feat. Nicky Jam),158,2017-01-01,Cosculluela,https://open.spotify.com/track/3noN1TxpjbjjmKqssghvg8,Argentina,top200,MOVE_DOWN,17442
Não Me Deixe Sozinho,108,2017-01-01,Nego do Borel,https://open.spotify.com/track/0gNxi721t2RcPt5LdWGfpb,Brazil,top200,MOVE_UP,41635
Scars To Your Beautiful,27,2017-01-01,Alessia Cara,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,Austria,top200,MOVE_UP,5556
Partiu,72,2017-01-01,MC Kekel,https://open.spotify.com/track/1LTxGBL6yKtfmW3K8EvbSY,Brazil,top200,MOVE_UP,63962
The Greatest,60,2017-01-01,Sia,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,Austria,top200,SAME_POSITION,3317
Thinking out Loud,109,2017-01-01,Ed Sheeran,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Australia,top200,MOVE_UP,16061
Cake By The Ocean,95,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Belgium,top200,MOVE_DOWN,3444
Deja De Llorar,61,2017-01-01,El Polaco,https://open.spotify.com/track/3tddzXTgneWrkV2cYNUBZe,Argentina,top200,MOVE_UP,40065
O Nosso Santo Bateu - Na Praia / Ao Vivo,16,2017-01-01,Matheus & Kauan,https://open.spotify.com/track/6SwI4OplF8m5NH8wHKIps8,Brazil,top200,MOVE_UP,151785
Purple Lamborghini (with Rick Ross),193,2017-01-01,Skrillex,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ,Austria,top200,MOVE_DOWN,1185
My Girl,165,2017-01-01,The Temptations,https://open.spotify.com/track/6RrXd9Hph4hYR4bf3dbM6H,Belgium,top200,MOVE_DOWN,2412
By Your Side,46,2017-01-01,"Jonas Blue, RAYE",https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,Belgium,top200,MOVE_UP,5529
I Would Like,47,2017-01-01,Zara Larsson,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,Belgium,top200,MOVE_UP,5492
Middle,63,2017-01-01,"DJ Snake, Bipolar Sunshine",https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,Bolivia,top200,MOVE_DOWN,1043
The Ocean (feat. Shy Martin),65,2017-01-01,Mike Perry,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,Belgium,top200,MOVE_UP,4396
